,Region,Land,STEM_choices
0,West,Denmark,5.0
1,West,Denmark,5.0
2,West,Denmark,6.0
3,West,Denmark,6.0
4,West,USA,5.0
5,West,USA,4.0
6,West,USA,5.0
7,West,USA,4.5
8,West,Canada,6.0
9,West,Canada,6.0
10,West,Canada,4.0
11,West,Canada,5.0
12,West,Germany,4.0
13,West,Germany,5.0
14,West,Germany,7.0
15,West,Germany,5.0
16,West,France,5.0
17,West,France,5.0
18,West,France,5.0
19,West,France,5.0
20,West,Finland,5.0
21,West,Finland,6.0
22,West,Finland,5.0
23,West,Finland,5.0
24,West,Greece,4.0
25,West,Greece,5.0
26,West,Greece,3.0
27,West,Greece,5.0
28,West,Romania,6.0
29,West,Romania,6.0
30,West,Romania,6.0
31,West,Romania,5.0
32,West,UK,5.0
33,West,UK,6.0
34,West,UK,5.0
35,West,UK,3.0
36,West,Lithuania,4.0
37,West,Lithuania,5.0
38,West,Lithuania,6.0
39,West,Lithuania,4.0
40,West,Sweden,5.0
41,West,Sweden,5.0
42,West,Sweden,5.0
43,West,Sweden,5.0
44,West,Spain,5.0
45,West,Spain,6.0
46,West,Spain,5.0
47,West,Spain,5.0
48,Asia,Syria,3.0
49,Asia,Syria,4.0
50,Asia,Syria,4.5
51,Asia,Syria,4.5
52,Asia,China,6.0
53,Asia,China,5.0
54,Asia,China,6.0
55,Asia,China,4.0
56,Asia,Afghanistan,4.0
57,Asia,Afghanistan,3.0
58,Asia,Afghanistan,4.0
59,Asia,Afghanistan,4.0
60,Asia,India,5.0
61,Asia,India,5.0
62,Asia,India,4.0
63,Asia,India,4.0
64,Asia,Russia,5.0
65,Asia,Russia,5.0
66,Asia,Russia,5.0
67,Asia,Russia,5.0
68,Asia,Cambodia,4.5
69,Asia,Cambodia,5.0
70,Asia,Cambodia,4.5
71,Asia,Cambodia,4.0
72,Asia,Mongolia,5.0
73,Asia,Mongolia,5.0
74,Asia,Mongolia,4.0
75,Asia,Mongolia,3.0
76,Asia,Bhutan,5.0
77,Asia,Bhutan,5.0
78,Asia,Bhutan,4.0
79,Asia,Bhutan,4.0
80,Asia,Japan,5.0
81,Asia,Japan,4.0
82,Asia,Japan,4.0
83,Asia,Japan,5.0
84,Asia,Philippines,4.0
85,Asia,Philippines,5.0
86,Asia,Philippines,4.5
87,Asia,Philippines,5.0
88,Asia,Thailand,3.0
89,Asia,Thailand,4.0
90,Asia,Thailand,4.0
91,Asia,Thailand,6.0
92,Asia,Pakistan,4.0
93,Asia,Pakistan,5.0
94,Asia,Pakistan,6.0
95,Asia,Pakistan,5.0
96,Africa,Uganda,5.0
97,Africa,Uganda,4.0
98,Africa,Uganda,5.0
99,Africa,Uganda,5.0
100,Africa,Egypt,5.0
101,Africa,Egypt,4.0
102,Africa,Egypt,4.0
103,Africa,Egypt,1.0
104,Africa,South Africa,3.0
105,Africa,South Africa,3.0
106,Africa,South Africa,3.0
107,Africa,South Africa,4.0
108,Africa,Nigeria,5.0
109,Africa,Nigeria,5.0
110,Africa,Nigeria,4.0
111,Africa,Nigeria,6.0
112,Africa,Senegal,4.0
113,Africa,Senegal,3.0
114,Africa,Senegal,5.0
115,Africa,Senegal,5.0
116,Africa,Somalia,4.0
117,Africa,Somalia,5.0
118,Africa,Somalia,4.0
119,Africa,Somalia,4.0
120,Africa,Tunisia,5.0
121,Africa,Tunisia,6.0
122,Africa,Tunisia,5.0
123,Africa,Tunisia,6.0
124,Africa,Congo,4.0
125,Africa,Congo,5.0
126,Africa,Congo,4.0
127,Africa,Congo,5.0
128,Africa,Kenya,4.0
129,Africa,Kenya,3.0
130,Africa,Kenya,4.0
131,Africa,Kenya,4.0
132,Africa,Ghana,4.0
133,Africa,Ghana,5.0
134,Africa,Ghana,5.0
135,Africa,Ghana,4.0
136,Africa,Sudan,5.0
137,Africa,Sudan,5.0
138,Africa,Sudan,4.0
139,Africa,Sudan,5.0
140,Africa,Morocco,4.0
141,Africa,Morocco,5.0
142,Africa,Morocco,4.0
143,Africa,Morocco,4.0
144,SouthAmerica,Chile,5.0
145,SouthAmerica,Chile,6.0
146,SouthAmerica,Chile,6.0
147,SouthAmerica,Chile,6.0
148,SouthAmerica,Brazil,5.0
149,SouthAmerica,Brazil,6.0
150,SouthAmerica,Brazil,4.0
151,SouthAmerica,Brazil,4.0
152,SouthAmerica,Venezuela,6.0
153,SouthAmerica,Venezuela,5.0
154,SouthAmerica,Venezuela,4.0
155,SouthAmerica,Venezuela,5.0
156,SouthAmerica,Argentina,6.0
157,SouthAmerica,Argentina,5.0
158,SouthAmerica,Argentina,6.0
159,SouthAmerica,Argentina,5.0
160,SouthAmerica,Peru,5.0
161,SouthAmerica,Peru,5.0
162,SouthAmerica,Peru,4.0
163,SouthAmerica,Peru,6.0
164,SouthAmerica,Ecuador,4.0
165,SouthAmerica,Ecuador,5.0
166,SouthAmerica,Ecuador,5.0
167,SouthAmerica,Ecuador,6.0
168,SouthAmerica,Colombia,5.0
169,SouthAmerica,Colombia,4.0
170,SouthAmerica,Colombia,4.0
171,SouthAmerica,Colombia,7.0
172,SouthAmerica,Bolivia,5.0
173,SouthAmerica,Bolivia,5.0
174,SouthAmerica,Bolivia,5.0
175,SouthAmerica,Bolivia,4.0
176,SouthAmerica,Uruguay,5.0
177,SouthAmerica,Uruguay,4.0
178,SouthAmerica,Uruguay,5.0
179,SouthAmerica,Uruguay,4.0
180,SouthAmerica,Guyana,5.0
181,SouthAmerica,Guyana,5.0
182,SouthAmerica,Guyana,4.0
183,SouthAmerica,Guyana,6.0
184,SouthAmerica,Paraguay,5.0
185,SouthAmerica,Paraguay,5.0
186,SouthAmerica,Paraguay,5.0
187,SouthAmerica,Paraguay,3.0
188,SouthAmerica,Suriname,5.0
189,SouthAmerica,Suriname,6.0
190,SouthAmerica,Suriname,5.0
191,SouthAmerica,Suriname,6.0
